,title,link
0,Accessibility help,https://support.google.com/websearch/answer/181196?hl=en
1,Accessibility feedback,https://support.google.com/websearch/answer/181196?hl=en
2,Got it,https://www.google.com/intl/en/about/products?tab=wh
3,Sign in,https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com.np/search%3Fq%3Dfootball
4,Sign in,https://www.google.com.np/webhp?hl=en&ictx=2&sa=X&ved=0ahUKEwj7g9vzqqzoAhXsyIsBHZkCDosQPQgH
5,Report inappropriate predictions,https://maps.google.com.np/maps?q=football&um=1&ie=UTF-8&sa=X&ved=2ahUKEwj7g9vzqqzoAhXsyIsBHZkCDosQ_AUoAHoECBMQCA
6,Report inappropriate predictions,https://www.google.com.np/flights?q=football&source=lnms&tbm=flm&sa=X&ved=2ahUKEwj7g9vzqqzoAhXsyIsBHZkCDosQ_AUoAnoECBMQCg
7,Tools,https://www.foxnews.com/sports/us-womens-football-team-airlifted-by-military-from-honduras-amid-coronavirus
8,Tools,https://247sports.com/LongFormArticle/College-football-preseason-Top-25-for-2020-Alabama-Crimson-Tide-Ohio-State-LSU-Georgia-Clemson-145252636/
9,Tools,https://www.si.com/college/texas/football/texas-football-plays-that-defined-the-longhorn-season-no-4
10,Tools,https://en.wikipedia.org/wiki/Football
11,Cached,https://webcache.googleusercontent.com/search?q=cache:oTP5Qe93NzQJ:https://en.wikipedia.org/wiki/Football+&cd=11&hl=en&ct=clnk&gl=us
12,Early history,https://en.wikipedia.org/wiki/Football#Early_history
13,"Use of the word ""football""",https://en.wikipedia.org/wiki/Football#Use_of_the_word_%22football%22
14,Football codes board,https://en.wikipedia.org/wiki/Football#Football_codes_board
15,Football codes board,https://en.wikipedia.org/wiki/Association_football
16,Cached,https://webcache.googleusercontent.com/search?q=cache:oSZH9Z41q4YJ:https://en.wikipedia.org/wiki/Association_football+&cd=12&hl=en&ct=clnk&gl=us
17,Mid-19th century England,https://en.wikipedia.org/wiki/History_of_association_football
18,Football,https://en.wikipedia.org/wiki/Ball_(association_football)
19,Supplier Diversity,https://supplierdiversity.foxnews.com/
20,Football,https://www.nfl.com/
21,Honduras,https://www.foxnews.com/world
22,Cached,https://webcache.googleusercontent.com/search?q=cache:tOQiBrRKqKwJ:https://www.nfl.com/+&cd=13&hl=en&ct=clnk&gl=us
23,About,https://about.google/?fg=1&utm_source=google-US&utm_medium=referral&utm_campaign=hp-header
24,Central American,https://www.foxnews.com/category/travel/regions/central-america
25,Cached,https://www.youtube.com/watch?v=5z4QU1XTQHE
26,Cached,https://www.youtube.com/watch?v=ZQH6H1u1Qgg
27,coronavirus,https://www.foxnews.com/category/health/infectious-disease/coronavirus
28,Cached,https://www.youtube.com/watch?v=OSGneV1pjXU
29,Similar,https://247sports.com/LongFormArticle/College-football-preseason-Top-25-for-2020-Alabama-Crimson-Tide-Ohio-State-LSU-Georgia-Clemson-145252636/
